বালাসরস্বতী	Balasaraswati
পরিতোষ সেন	Paritosh Sen
পল বয়ার	Paul D. Boyer
পীরু সিং	Piru Singh
রবার্ট প্রেস্টন	Robert Preston
ফররুখ আহমদ	Farrukh Ahmad
ফ্রেডরিক স্যাঙ্গার	Frederick Sanger
বড়মা	Boro Maa
ববি রিগস্‌	Bobby Riggs
বারট্রাম ব্রকহাউস	Bertram Brockhouse
ইংমার বারিমান	Ingmar Bergman
বিনায়ক আচার্য	Binayak Acharya
বেটি ফোর্ড	Betty Ford
অ্যালেক বেডসার	Alec Bedser
মহম্মদ আতাউল গণি ওসমানী	M. A. G. Osmani
মারিয়া মের্কাদের	María Mercader
মার্টিন রাইল	Martin Ryle
মৃণালিনী সারাভাই	Mrinalini Sarabhai
মেহতাব	Mehtab
মোহাম্মদ আবদুল হক	Mohammad Abdul Haque
আর্থার ম্যাকইনটায়ার	Arthur McIntyre
নেলসন ম্যান্ডেলা	Nelson Mandela
জেরোম রবিন্স	Jerome Robbins
ফ্রেডেরিক রাইনেস	Frederick Reines
রাম রাঘোবা রাণে	Rama Raghoba Rane
রামেশ্বর নাথ কাও	R. N. Kao
ডগ রিং	Doug Ring
রিচার্ড ফাইনম্যান	Richard Feynman
রিটা হেওয়ার্থ	Rita Hayworth
লক্ষ্মীনারায়ণ নায়ক	Laxminarayan Nayak
ইডা লুপিনো	Ida Lupino
শফিউর রহমান	Shafiur Rahman
শামসুল হক	Shamsul Huq
সুবোধ মুখার্জী	Subodh Mukherjee
রাঙ্গা সোহনী	Ranga Sohoni
কলিন স্নেডেন	Colin Snedden
মার্ভ হার্ভে	Merv Harvey
হুয়াঁউ বাতিস্তা দি ওলিভেইরা ফিগেইরেদু	João Figueiredo
হেলমুট স্মিত	Helmut Schmidt
উইলিয়াম হোল্ডেন	William Holden
তালিম হোসেন	Talim Hossain
নায়েন আবিদি	Nain Abidi
আইজাক আক	Aytaç Ak
আদনান আকমল	Adnan Akmal
ফায়াদ আলম	Fawad Alam
সাবা আনজুম করিম	Saba Anjum Karim
মার্কোস বাগদাতিস	Marcos Baghdatis
ক্যাথারিন ব্রুন্ট	Katherine Brunt
ডায়ানা ডেভিড	Diana David
বিজয় গুরুং	Bijaya Gurung
মরিয়ম হাসান	Mariam Hasan
সৌরভ রাজ জৈন	Saurabh Raj Jain
সানিয়া খান	Sania Khan
খালিদ লতিফ	Khalid Latif
ফার্নান্দো লরেন্ত	Fernando Llorente
ইবতিহাজ মুহাম্মাদ	Ibtihaj Muhammad
উরুজ মুমতাজ	Urooj Mumtaz
লুকাস পোডলস্কি	Lukas Podolski
মুমতাজ কাদরী	Mumtaz Qadri
রাজা-উর-রেহমান	Raza-ur-Rehman
শাপুর জাদরান	Shapoor Zadran
জুনায়েদ সিদ্দীকী	Junaid Siddiqui
রবার্তো সোলাদাদো	Roberto Soldado
মনোজ তিওয়ারি	Manoj Tiwary
রবিন উথাপ্পা	Robin Uthappa
অ্যান্টনিও ভ্যালেন্সিয়া	Antonio Valencia
ইয়ু অই	Yū Aoi
অখিল কাপুর	Akhil Kapur
অজন্তা মেন্ডিস	Ajantha Mendis
অভিষেক শর্মা	Abhishek Sharma
অর্জুন কাপুর	Arjun Kapoor
অসিন	Asin
অ্যান্টন ডেভসিচ	Anton Devcich
অ্যালিসন ক্যারল	Alison Carroll
অ্যালিস্টার ব্ল্যাক	Aleister Black
অ্যালেক্স ডুলান	Alex Doolan
অ্যাশলে ইয়াং	Ashley Young
আকিরা তোজাওয়া	Akira Tozawa
কাজল আগরওয়াল	Kajal Aggarwal
নাকাশ আজিজ	Nakash Aziz
মাসুদ আজিজি	Masoud Azizi
আদিত্য রয় কাপুর	Aditya Roy Kapur
আদিল রামি	Adil Rami
আদোলফো মাচাদো	Adolfo Machado
আনিতা ওদারজিক	Anita Włodarczyk
আন্না উশেনিনা	Anna Ushenina
আফতাব আহমেদ	Aftab Ahmed
আবদুল্লাহ আল মামুন	Abdullah Al Mamun
আব্দাল্লাহ সাঈদ	Abdallah El Said
আম্বতি রায়ডু	Ambati Rayudu
আরতি সিং	Arti Singh
আলি আসফাক	Ali Ashfaq
আজহার আলী	Azhar Ali
খাওয়ার আলী	Khawar Ali
আসামী আবে	Asami Abe
নাফিস ইকবাল	Nafees Iqbal
কলিন ইনগ্রাম	Colin Ingram
ইমতিয়াজ হোসেন	Imtiaz Hossain
ইয়াকুব বুয়াশ্চেকভোসস্কি	Jakub Błaszczykowski
ইয়ান ওয়ার্ডল	Iain Wardlaw
ঈসা গুহ	Isa Guha
উকাশ পিশ্চেক	Łukasz Piszczek
উনি করোথ	Unni Koroth
আয়া উয়েটো	Aya Ueto
এজেকিয়েল লাভেজ্জি	Ezequiel Lavezzi
এনামুল শরীফ	Anamul Haque Sharif
এনামুল হক	Enamul Haque
এমোরি লিওন শাফি	Emory Leon Chaffee
এলিয়ানর ক্যাটন	Eleanor Catton
এশা গুপ্তা	Esha Gupta
এ্যাশলাইন ব্রুক	Ashlynn Brooke
ঐন্দ্রিতা রায়	Aindrita Ray
ঐশ্বর্যা সখুজা	Aishwarya Sakhuja
ওউকাশ ফ্যাবিয়ানস্কি	Łukasz Fabiański
গিয়ের্মো ওচোয়া	Guillermo Ochoa
ওজস্বী অরোরা	Ojaswi Aroraa
ওমর হাউসাউই	Omar Hawsawi
নিউফেল ওয়াতা	Newfel Ouatah
ওয়াহাব রিয়াজ	Wahab Riaz
কবিতা রাউত	Kavita Tungar
কবিতা রাধেশ্যাম	Kavita Radheshyam
করীম এল আহমাদি	Karim El Ahmadi
কাদির আহমেদ	Qadeer Ahmed
কায়ডেন ক্রস	Kayden Kross
কার্ট হকিন্স	Curt Hawkins
বিশাল কৃষ্ণ	Vishal
কেদার যাদব	Kedar Jadhav
অ্যানা কেন্ড্রিক	Anna Kendrick
ক্রিস ইগলস	Chris Eagles
ক্রিস্টোফার এমপফু	Christopher Mpofu
ক্রেগ আরভিন	Craig Ervine
ক্লাউডিয়া কিম	Claudia Kim
গাল গাদোত	Gal Gadot
গুরমীত সিং	Gurmeet Singh
গ্যারি কেহিল	Gary Cahill
চাদউইক ওয়ালটন	Chadwick Walton
নাসিরউদ্দিন চৌধুরী	Nasiruddin Chowdhury
জন নিয়ুম্বু	John Nyumbu
জন হেস্টিংস	John Hastings
আতার জারগুলেইন	Antar Zerguelaïne
ফৌজিয়া হুদা জুঁই	Foujia Huda
জেনিফার উইঙ্গেট	Jennifer Winget
জেসাস নাভাস	Jesús Navas
জ্যাক রাইডার	Zack Ryder
জ্যাকুলিন ফার্নান্দেজ	Jacqueline Fernandez
টমাস ভের্মালেন	Thomas Vermaelen
টয়ান্ডা মুপারিয়া	Tawanda Mupariwa
মোনালি ঠাকুর	Monali Thakur
ডং ফ্যাংঝুও	Dong Fangzhuo
ডায়না পেন্টি	Diana Penty
ডিন অ্যামব্রোজ	Jon Moxley
ডেন ভিলাস	Dane Vilas
ডেভিড উইসে	David Wiese
ড্যানি ভুকোভিচ	Danny Vukovic
ড্যানিয়েল কলিন্দ্রেস	Daniel Colindres
তারিফ আহমেদ	Tarif Ahmed
তালহা জুবায়ের	Talha Jubair
তালিন রহমান	Talyn Rahman-Figueroa
তাহমিনা কবীর	Thamina Kabir
তিনাশি প্যানিয়াঙ্গারা	Tinashe Panyangara
শ্বেতা ত্রিপাঠি	Shweta Tripathi
উপুল থারাঙ্গা	Upul Tharanga
দি উসোস	The Usos
দিনেশ কার্তিক	Dinesh Karthik
দিনেশ রামদিন	Denesh Ramdin
লাসানা দিয়ারা	Lassana Diarra
দুলসে মারিয়া	Dulce María
দেবেন্দ্র বিশু	Devendra Bishoo
দ্রষ্টি ধামি	Drashti Dhami
নওশীন নেহরিন মৌ	Nawsheen Nahreen Mou
কিয়ারা নাইটলি	Keira Knightley
নাজিমউদ্দিন	Nazimuddin
নাদিয়া গোলাম	Nadia Ghulam
নিবেদিতা তিওয়ারী	Nivedita Tiwari
নুসরত ভরুচা	Nushrat Bharucha
পঙ্কজ আদবানি	Pankaj Advani
পাবলো জাবালেতা	Pablo Zabaleta
পাবলো পেরেজ	Pablo Pérez
দেউই পার্সিক	Dewi Persik
পিটার নেভিল	Peter Nevill
পেদ্রো জেরোমেল	Pedro Geromel
প্রসপার উতসেয়া	Prosper Utseya
র‌্যাচেল প্রিস্ট	Rachel Priest
শ্যানেল প্রেস্টন	Chanel Preston
ওয়ালী ফয়সাল	Wali Faisal
ফারিস উদেহ	Faris Odeh
ফার্নান্দো লুইজ রোজা	Fernandinho
ফিল বার্ডসলে	Phil Bardsley
ফিলিপে লুইস	Filipe Luís
ভার্নন ফিল্যান্ডার	Vernon Philander
বড়লক্ষ্মী শরৎকুমার	Varalaxmi Sarathkumar
বানি মেয়ের	Bunny Meyer
বিজে ওয়াটলিং	BJ Watling
বিজেন্দর সিং	Vijender Singh
সেসিলিয়া বিয়াজিওলি	Cecilia Biagioli
বোম্বাইলা দেবী লাইশ্রাম	Bombayla Devi Laishram
টিম ব্রেসনান	Tim Bresnan
ভেগা টামোটিয়া	Vega Tamotia
লুকা মদরিচ	Luka Modrić
মনির হোসেন	Monir Hossain
মনীষা গুল্যানি	Manisha Gulyani
মনোরঞ্জন রায়	Manoranjan Roy
জাকিয়া বারী মম	Zakia Bari Momo
মহতী	Mahathi
মাইক ব্যানেট	Mike Kanellis
মাইকেল ফেলপস	Michael Phelps
মারিও গোমেজ	Mario Gómez
সানা মারিন	Sanna Marin
মার্ক ফুটিট	Mark Footitt
মার্ক মিলিগান	Mark Milligan
ব্রুনো মার্স	Bruno Mars
মিনীষা লাম্বা	Minissha Lamba
তথাগত মুখোপাধ্যায়	Tathagata Mukherjee
মুমাইত খান	Mumaith Khan
কেরি মুলিগান	Carey Mulligan
মুসলিম মোবারক	Muslim Mubarak
মুহাম্মদ কালিম	Muhammad Kaleem
মুহাম্মদ বিন সালমান	Mohammed bin Salman
রুনি মেয়ারা	Rooney Mara
মেরিজা অ্যাগুইলেরা	Merissa Aguilleira
মোহাম্মদ ফরিদউদ্দিন	Mohammad Fariduddin
মোহাম্মদ শরীফ	Mohammad Sharif
মোহাম্মদ আবদেল শাফি	Mohamed Abdel Shafy
মোহাম্মাদ নবী	Mohammad Nabi
ড্রু ম্যাকইন্টায়ার	Drew McIntyre
ম্যাক্স সোরেনসেন	Max Sorensen
যশ দাশগুপ্ত	Yash Dasgupta
রণবীর সিং	Ranveer Singh
রবি বোপারা	Ravi Bopara
রশ্মি বনশল	Rashmi Bansal
রসিকা দুগল	Rasika Dugal
লুক রাইট	Luke Wright
রাধিকা আপ্টে	Radhika Apte
রাম চরণ	Ram Charan
মৌনী রায়	Mouni Roy
ওয়েইন রুনি	Wayne Rooney
বাসুদেব আচার্য	Basudeb Acharia
তাসুকু হনজো	Tasuku Honjo
অণু আগা	Anu Aga
অনিতা বসু পাফ	Anita Bose Pfaff
অমিতাভ বচ্চন	Amitabh Bachchan
অশোক ঘোষ	Ashok Ghosh
অ্যালবার্ট এক্কা	Albert Ekka
অ্যালেক্স স্টেপনি	Alex Stepney
আজমীর সিং অউলখ	Ajmer Singh Aulakh
রফিক আজাদ	Rafiq Azad
আজিজ মিয়া	Aziz Mian
আবদুল মান্নান	Abdul Mannan
আবিব সারাজুদ্দিন	Abib Sarajuddin
আবু তাহের মোহাম্মদ হায়দার	Abu Taher Mohammad Haider
আবুল আসাদ	Abul Asad
আব্দুর রাজ্জাক	Abdur Razzaq
আব্দুল মাজিদ আল-জিনদানি	Abdul Majeed al-Zindani
আব্দুলাজিজ সাচেদিনা	Abdulaziz Sachedina
আব্দুল্লাহ আল মামুন	Abdullah al Mamun
আমানুল্লাহ মোহাম্মদ আসাদুজ্জামান	Amanullah Asaduzzaman
আমির তাহেরি	Amir Taheri
আমিরুল ইসলাম চৌধুরী	Amirul Islam Chowdhury
আশা পারেখ	Asha Parekh
আসিফ নুরানী	Asif Noorani
ইউসেবিও	Eusébio
ইজ্জাত ইব্রাহিম আদ-দাউরি	Izzat Ibrahim al-Douri
ইমরান নযর হোসেন	Imran N. Hosein
ইসমত আরা সাদেক	Ismat Ara Sadique
ব্যারি উড	Barry Wood
উমা শর্মা	Uma Sharma
এ এন এম গোলাম মোস্তফা	ANM Golam Mostafa
রস এডওয়ার্ডস	Ross Edwards
এম এ ওয়াজেদ মিয়া	M. A. Wazed Miah
এম. এম. রুহুল আমিন	M. M. Ruhul Amin
এস আই এম নূরুন্নবী খান	S I M Nurunnabi Khan
এস কে আবু বাকের	SK Abu Bakr
করুণাময় গোস্বামী	Karunamaya Goswami
কাজী আরেফ আহমেদ	Kazi Aref Ahmed
শহীদ কাদরী	Shahid Qadri
হেমন্ত কানিদকর	Hemant Kanitkar
কিম জং ইল	Kim Jong-il
আলমগীর কুমকুম	Alamgir Kumkum
ক্যারেন উলেনবেক	Karen Uhlenbeck
ক্লার্ক কিম্বার্লিং	Clark Kimberling
খন্দকার মোশাররফ হোসেন	Khandaker Mosharraf Hossain
গায়ত্রী চক্রবর্তী স্পিভাক	Gayatri Chakravorty Spivak
নিপন গোস্বামী	Nipon Goswami
মতিয়া চৌধুরী	Matia Chowdhury
জগন্নাথ রৌত	Jagannath Rout
জন সুলস্টন	John Sulston
জস্‌ এডোয়াদো ডোস সান্তোস্‌	José Eduardo dos Santos
জহর দাশগুপ্ত	Jahar Dasgupta
জাক দ্যুবোশে	Jacques Dubochet
জানকার্লো জাননিনি	Giancarlo Giannini
জামিলুর রেজা চৌধুরী	Jamilur Reza Choudhury
জিতেন্দ্র	Jeetendra
জুনিচিরো কোইযুমি	Junichiro Koizumi
জুবাইদা গুলশান আরা	Zubaida Gulshan Ara
জো বাইডেন	Joe Biden
জ্যাকব জুমা	Jacob Zuma
জ্যাকুয়েস রগ	Jacques Rogge
টনি লুইস	Tony Lewis
রিটা টুশিংহাম	Rita Tushingham
রবার্ট কার ডাইনস	Robert C. Dynes
সোমাচন্দ্র ডি সিলভা	Somachandra de Silva
ডেভিড গ্রিফিথস	David J. Griffiths
আন্তোনিও থিসনেরস	Antonio Cisneros
জ্যাকি দু প্রিজ	Jackie du Preez
নাজমা চৌধুরী	Najma Chowdhury
নাজমুল হুদা মিন্টু	Nazmul Huda Mintu
নাসির উদ্দিন জিহাদী	Nasir Uddin
নিসার মেমন	Nisar Memon
নুরুল আমিন খান পাঠান	Nurul Amin Khan Pathan
পল ম্যাককার্টনি	Paul McCartney
পল সাইমন	Paul Simon
রয় পালমার	Roy Palmer
পি ভারতীরাজা	P. Bharathiraja
পূরবী দত্ত	Purabi Dutta
পিটার পেথেরিক	Peter Petherick
প্রভা খেতান	Prabha Khaitan
ফিলিপ গঞ্জালেজ	Felipe González
হ্যারিসন ফোর্ড	Harrison Ford
ফৌজিয়া ইয়াসমিন	Fauzia Yasmin
রয় ফ্রেডেরিক্স	Roy Fredericks
বরুণ মজুমদার	Barun Mazumder
আলী বাখের	Ali Bacher
বারবারা স্ট্রাইস্যান্ড	Barbra Streisand
আঞ্জুমান আরা বেগম	Anjuman Ara Begum
ডেভিড ব্রাউন	David J. Brown
মাইক ব্রিয়ারলি	Mike Brearley
ভাস্কর গুপ্তা	Bhaskar Gupta
কেরামত মওলা	Keramat Moula
মতিউর রহমান	Motiur Rahman
মহিউদ্দীন খান আলমগীর	Muhiuddin Khan Alamgir
মাইক নিউয়েল	Mike Newell
মাইকেল কস্টারলিৎজ	J. Michael Kosterlitz
মাইকেল ব্লুমবার্গ	Michael Bloomberg
মাধবী পারেখ	Madhvi Parekh
মাধবী মুখোপাধ্যায়	Madhabi Mukherjee
মার্গারেট কোর্ট	Margaret Court
মাহবুব তালুকদার	Mahbub Talukdar
মিশেল মাইয়র	Michel Mayor
প্রতুল মুখোপাধ্যায়	Pratul Mukhopadhyay
মুয়াম্মর গাদ্দাফি	Muammar Gaddafi
মুহাম্মদ আলী	Muhammad Ali
মুহাম্মাদু বাহারি	Muhammadu Buhari
মেহেরুন নেসা	Meherun Nesa
মোস্তফা ফারুক মোহাম্মদ	Mostafa Faruk Mohammad
মোহম্মদ আব্দুল জলিল	Mohammad Abdul Jalil
মোহাম্মদ ছায়েদুল হক	Mohammad Sayedul Haque
মোহাম্মদ মৌসভী খোইনিহা	Mohammad Mousavi Khoeiniha
মোহাম্মদ সাদত আলী	Mohammad Sadat Ali
মোহাম্মেদ এল বারাদেই	Mohamed ElBaradei
রজার ইবার্ট	Roger Ebert
রাজেশ খান্না	Rajesh Khanna
রাজ্জাক	Abdur Razzak
রিংকি ভট্টাচার্য্য	Rinki Bhattacharya
রেজাউল করিম হীরা	Rezaul Karim Hira
ডেভিড রেনেবার্গ	David Renneberg
লিওন রাসেল	Leon Russell
ক্যারল লিনলি	Carol Lynley
শচীন্দ্রচন্দ্র পাল	Sachindra Chandra Pal
শ্যামলী নাসরিন চৌধুরী	Shyamoli Nasrin Chowdhury
সন্তোষ রানা	Santosh Rana
সিকদার আমিনুল হক	Sikdar Aminul Haq
সৈয়দ মঞ্জুর এলাহী	Syed Manzur Elahi
সোনম ওয়াঙ্গিয়াল	Sonam Wangyal
মার্টিন স্কোরসেজি	Martin Scorsese
স্টানলি বি প্রুসিনার	Stanley B. Prusiner
মাইকেল জে. স্মিথ	Michael J. Smith
স্যাম্ পিট্রডা	Sam Pitroda
বশিরুল হক	Bashirul Haq
স্টিভেন হকিং	Stephen Hawking
রবিন হবস	Robin Hobbs
বব হস্কিন্স	Bob Hoskins
হাওয়ার্ড জ্যাকবসন	Howard Jacobson
রিচার্ড হাটন	Richard Hutton
পেটার হান্ড‌কে	Peter Handke
হাবিবুর রহমান মোল্লা	Habibur Rahman Mollah
মোস্তফা জামাল হায়দার	Mostafa Jamal Haider
হায়াৎ সাইফ	Hayat Saif
হায়েদেহ	Hayedeh
হু জিনতাও	Hu Jintao
ভের্নার হের্ৎসগ	Werner Herzog
আমজাদ হোসেন	Amjad Hossain
আছিয়া আন্দ্রাবী	Asiya Andrabi
সুমাইরা মালিক	Sumaira Malik
এস. শঙ্কর	S. Shankar
ইকবাল থেবা	Iqbal Theba
আরতি অঙ্কলিকর-টিকেকর	Arati Ankalikar-Tikekar
অনাদিশ পাল	Anadish Pal
অনিকেত চট্টোপাধ্যায়	Aniket Chattopadhyay
অনিল দলপত	Anil Dalpat
অন্তরা দেব সেন	Antara Dev Sen
আওয়াদেয়া মাহমুদ	Awadeya Mahmoud
হ্যাপী আখন্দ	Happy Akhand
মোহাম্মদ আজহারউদ্দীন	Mohammad Azharuddin
আদিল হুসেইন	Adil Hussain
আবু জাফর	Abu Zafar
আবু জাহির	Md. Abu Zahir
আমির মোকাম	Amir Muqam
আসিফ করিম	Aasif Karim
আলেহান্দ্রো গোন্সালেস ইনারিতু	Alejandro González Iñárritu
ইয়ান মার্টেল	Yann Martel
সাতোকো ইয়ামানো	Satoko Yamano
ইসমাইল হানিয়া	Ismail Haniyeh
উম্মে কুলসুম স্মৃতি	Umme Kulsum Smrity
ঋতুপর্ণ ঘোষ	Rituparno Ghosh
এমিলিও বুত্রাগেনিয়ো	Emilio Butragueño
এস. এম. জগলুল হায়দার	S. M. Jaglul Hayder
এহসান নুরানী	Ehsaan Noorani
ট্যাটুম ওনিল	Tatum O\Neal
আনা মারিয়া করাজা বিল্ডট	Anna Maria Corazza Bildt
রিমা আল-কাদিরী	Rima al-Qadiri
কার্টলি অ্যামব্রোস	Curtly Ambrose
কুজেন্দ্র লাল ত্রিপুরা	Kujendra Lal Tripura
কেভিন মিটনিক	Kevin Mitnick
ক্যাথরিন মাসুদ	Catherine Masud
খরাজ মুখোপাধ্যায়	Kharaj Mukherjee
গার্গী ব্যানার্জি	Gargi Banerji
গার্থ ম্যাক্সওয়েল	Garth Maxwell
গোবিন্দ	Govinda
গোবিন্দ চন্দ্র ঠাকুর	Gobinda Chandra Tagore
গ্যারি কাসপারভ	Garry Kasparov
কনক চাঁপা চাকমা	Kanak Chanpa Chakma
কে. এস. চিত্রা	K. S. Chithra
সোহেল চৌধুরী	Sohel Chowdhury
জন অ্যাল্টোবেলি	John Altobelli
জর্জ মাইকেল	George Michael
জাহাঙ্গীর খান	Jahangir Khan
জেমস হেটফিল্ড	James Hetfield
জোসে মরিনহো	José Mourinho
টনি ডোডেমাইড	Tony Dodemaide
টিমোথি গাওয়ার্স	Timothy Gowers
টেসা থম্পসন	Tessa Thompson
টেসি থমাস	Tessy Thomas
কোয়েন্টিন টারান্টিনো	Quentin Tarantino
ডনি ইয়েন	Donnie Yen
জনি ডেপ	Johnny Depp
ডেভ ক্যান্টারবারি	Dave Canterbury
ডেভিড ক্যাপেল	David Capel
ডেভিড মইজ	David Moyes
ডেভিড সিম্যান	David Seaman
ড্যানিয়েল পার্ল	Daniel Pearl
ড্যানিয়েল মোজন	Daniel Mojon
তরুণ তেজপাল	Tarun Tejpal
তানিকা গুপ্তা	Tanika Gupta
বিশাল দাদলানি	Vishal Dadlani
দুঙ্গা	Dunga
সুনিলা দেবী	Sunila Devi
নবজ্যোত সিং সিধু	Navjot Singh Sidhu
নাসরিন সোলতানখাহ	Nasrin Soltankhah
নীরজা ভনোট	Neerja Bhanot
নীল ফেয়ারব্রাদার	Neil Fairbrother
রত্না পাঠক	Ratna Pathak
ফারাহনায পাহলভি	Farahnaz Pahlavi
পিটার স্মাইকেল	Peter Schmeichel
পুষ্পেন্দ্র কুমার গর্গ	Pushpendra Kumar Garg
প্রেমলতা আগরওয়াল	Premlata Agarwal
ফরিদা ইয়াসমিন	Farida Yasmin
ফুলন দেবী	Phoolan Devi
বদিউল আলম খোকন	Badiul Alam Khokon
বি. সন্ধ্যা	B. Sandhya
দেমিয়ান বিচির	Demián Bichir
বিলি বাউডেন	Billy Bowden
কুমার বিশ্বজিৎ	Kumar Bishwajit
রব বেইলি	Rob Bailey
বেদব্রত পাইন	Bedabrata Pain
বেনজীর আহমেদ	Benazir Ahmed
বোরুট পাহর	Borut Pahor
এডো ব্রান্ডেস	Eddo Brandes
ব্রায়ান ম্যাকক্লেয়ার	Brian McClair
ব্রায়ান ম্যাকমিলান	Brian McMillan
ব্র্যাড পিট	Brad Pitt
শিশির ভট্টাচার্য্য	Shishir Bhattacharja
ভিক্টর অরবান	Viktor Orbán
মনজুর এলাহী	Manzoor Elahi
মনোজ প্রভাকর	Manoj Prabhakar
মন্টুরাম পাখিরা	Manturam Pakhira
মমতাজ বেগম	Momotaj Begum
হিউ মরিস	Hugh Morris
মহসিন কামাল	Mohsin Kamal
মাইক পম্পে	Mike Pompeo
মাইক ভেলেটা	Mike Veletta
মাইক মায়ার্স্‌	Mike Myers
মাইকেল জর্ডান	Michael Jordan
মার্ক গ্রেটব্যাচ	Mark Greatbatch
মার্ক হিউজ	Mark Hughes
সেলিম মালিক	Saleem Malik
মীনাক্ষী শেষাদ্রি	Meenakshi Seshadri
অনিতা মুই	Anita Mui
মুস্তাফা খালিদ পলাশ	Mustapha Khalid Palash
মৃগাঙ্ক মাহাতো	Mriganko Mahato
মে-ব্রিট মোজের	May-Britt Moser
রাকেশ ওমপ্রকাশ মেহরা	Rakeysh Omprakash Mehra
মোহন কুমার	Mohan Kumar
মোহাম্মদ আবুল হুদা আল ইয়াকুবী	Muhammad al-Yaqoubi
মোহাম্মদ ইলিয়াছ	Mohammed Ellias
মোহাম্মদ শহিদ ইসলাম	Mohammad Shahid Islam
ডেভন ম্যালকম	Devon Malcolm
রফিক আজম	Rafiq Azam
অর্জুনা রানাতুঙ্গা	Arjuna Ranatunga
প্রণব রায়	Pranab Roy
রিচার্ড ইলিংওয়ার্থ	Richard Illingworth
ব্রুস রিড	Bruce Reid
টেপ রিন্ডারো	Tep Rindaro
ডারমট রিভ	Dermot Reeve
ললিত মোদী	Lalit Modi
লারস আলরিক	Lars Ulrich
জেট লি	Jet Li
রোল্যান্ড ল্যাফেব্রে	Roland Lefebvre
শশী পাঁজা	Shashi Panja
শহিদুর রহমান	Shaheedur Rahman
শিব আইয়াদুরাই	Shiva Ayyadurai
এলিজাবেথ শু	Elisabeth Shue
শেখ নুরুল ইসলাম	Haji Nurul Islam
শ্রীদেবী	Sridevi
সঞ্জয় লীলা বনশালি	Sanjay Leela Bhansali
সন্ধ্যা আগারওয়াল	Sandhya Agarwal
সর্বজিৎ সিং	Sarabjit Singh
সাইদুর রহমান ডন	Saidur Rahman Dawn
সাইমন ও’ডনেল	Simon O\Donnell
সাখিয়াজিন এলবেগদর্জ	Tsakhiagiin Elbegdorj
সার্গেই বুবকা	Sergey Bubka
সাহাব উদ্দিন আহমেদ	Sahab Uddin Ahmed
সি. কে. নন্দন	C. K. Nandan
রবিন সিং	Robin Singh
সিদ্দিকুর রহমান সরকার	Siddiqur Rahman Sarker
ফিল সিমন্স	Phil Simmons
স্টিভেন সোডারবার্গ	Steven Soderbergh
